유동자산,현금및현금성자산,매출채권 및 기타유동채권,당기법인세자산,재고자산,기타유동금융자산,기타유동자산,비유동자산,매출채권 및 기타비유동채권,장기투자자산,금융리스채권_1,종속/관계/공동기업투자,유형자산,무형자산,기타비유동금융/자산,자산총계
14155355,4791062,1092171,735,319844,6965060,102274,11528854,286572,79720,166224,469527,4066274,43735,1927920,25684209
8715111,1506142,2144838,591,250066,4733292,61146,8892651,309732,190816,10351,455420,3063427,42442,62656,17607762
2156041,1009447,849147,920,146143,660,80681,6472296,282329,158172,17661,366331,1784860,45544,13461,8628337
1427203,645092,545258,4179,135256,12710,58507,5732984,259028,35193,30357,293637,2023528,91533,53335,7160187
1747647,562901,536439,9848,131521,317033,189898,2373793,181909,50559,12637,284684,1734100,77409,46602,4121440
1386678,676365,371308,7763,112700,18471,192223,2215740,192469,22463,12157,126402,1596765,80273,150889,3602418
